	a101	a102	a105	a107	a108	a1001	a1002	a1003	a1004	a1005	a1006	a1007	a1008	a1009	a1010	a1011	a1012	a1013	a1014
7907	102	999	102	102	999	102	102	108	101	106	101	101	101	102	101	103	105	101	108
7908	102	999	102	102	999	102	102	108	101	105	101	101	101	102	101	105	105	101	108
8008	101	101	101	101	101	101	996	101	101	105	101	101	101	101	101	106	101	101	101
8009	105	102	105	102	102	105	997	102	105	103	102	102	105	102	105	103	102	105	102
8010	101	101	101	101	101	101	101	101	101	109	101	101	101	101	101	105	101	101	101
8011	101	101	101	101	101	101	101	101	101	110	101	101	101	101	101	102	108	101	101
8012	101	101	101	101	101	108	101	101	101	106	101	108	101	108	101	103	101	996	108
8013	105	105	105	105	105	102	102	106	101	998	101	101	998	998	105	105	101	101	101
8014	102	999	102	102	999	102	102	108	101	999	102	101	101	102	101	105	105	101	108
8015	102	102	102	102	102	105	102	102	102	997	102	102	999	102	102	104	102	102	108
8016	105	105	105	105	105	105	105	102	105	110	102	105	105	102	105	103	105	105	105
8017	101	102	101	101	101	108	101	101	102	108	101	101	101	101	101	102	101	101	102
8018	999	999	999	999	999	997	998	999	996	106	999	999	997	999	999	103	999	997	999
8019	101	101	101	101	101	101	108	101	101	104	101	108	101	103	101	103	101	101	101
8020	101	101	101	101	101	101	101	101	101	102	101	101	101	101	101	104	101	101	101
8021	102	102	102	102	102	102	102	102	102	105	102	102	999	102	102	102	102	102	102
8022	101	101	101	101	101	108	101	101	101	107	101	108	101	101	101	104	101	996	101
8023	101	102	101	101	999	110	998	101	101	108	101	998	101	102	999	104	101	101	102
8024	999	102	101	101	999	103	102	101	101	109	101	101	101	104	101	103	101	996	101
8025	102	999	102	102	999	102	102	108	101	997	101	101	101	102	101	103	101	101	101
8026	999	102	101	101	999	101	102	101	101	996	101	101	101	103	101	104	101	996	101
8027	101	101	101	101	101	101	101	101	101	105	101	101	101	108	101	104	996	101	101
8028	101	101	101	101	101	107	101	101	101	102	101	101	101	107	101	101	101	101	101
8029	101	101	101	101	101	102	101	101	101	999	101	101	101	101	101	105	101	101	101
8030	101	101	101	101	101	101	101	108	101	101	101	101	101	101	101	102	101	101	101
8031	999	102	101	101	999	101	108	101	101	104	101	101	101	104	101	102	101	996	101
8032	101	101	101	101	101	101	996	101	101	110	101	101	101	101	101	104	101	101	999
8133	102	102	102	999	102	105	102	102	102	103	102	102	996	102	102	104	102	102	102
8134	999	999	999	999	999	997	999	999	996	107	999	999	997	999	999	103	999	997	999
8135	101	101	101	101	101	101	101	101	101	996	101	101	101	106	101	103	101	101	101
8136	101	101	101	101	101	101	101	101	101	999	101	101	101	102	101	104	101	101	101
8137	101	102	102	101	101	108	102	108	101	110	101	102	101	102	101	102	101	101	102
8138	101	101	101	101	101	101	101	101	101	104	101	101	101	108	101	103	101	101	102
8139	102	102	102	102	102	105	102	102	102	106	102	102	102	102	102	104	102	102	102
8140	101	101	101	101	101	101	997	101	101	108	101	999	999	105	101	104	101	108	999
8141	101	102	101	101	101	102	101	101	101	109	101	101	101	102	101	105	101	101	101
8142	101	102	101	101	101	102	101	101	101	996	101	101	101	102	101	104	102	101	101
8143	101	101	101	101	101	101	101	101	102	103	101	108	101	998	101	103	101	996	108
8144	101	101	101	101	101	101	101	101	101	996	101	101	101	101	101	109	101	101	101
8145	999	102	101	101	999	103	108	102	106	107	101	101	101	104	101	104	101	996	101
8146	101	101	101	101	101	105	101	108	101	108	101	101	101	101	101	102	102	101	101
8147	102	999	102	102	999	102	102	108	102	107	101	101	101	102	101	102	108	101	108
8148	102	102	102	999	102	105	102	102	105	102	102	102	102	102	102	105	102	102	102
8149	999	999	999	999	999	997	999	999	996	108	999	999	997	999	999	104	999	997	999
8150	102	102	102	102	102	105	102	102	105	996	102	102	102	102	102	104	102	102	101
8151	102	102	102	102	102	105	102	102	102	998	102	102	102	102	102	104	102	102	102
8152	105	105	105	105	105	103	102	103	996	108	102	102	105	105	105	101	105	105	102
8153	105	105	101	105	105	101	998	998	998	108	998	998	998	998	998	102	101	998	998
8154	102	102	102	101	102	101	102	102	102	107	102	102	102	102	102	102	102	102	102
8155	102	102	102	102	102	102	997	102	102	104	102	102	102	102	102	102	102	102	102
8156	105	101	102	102	999	108	101	102	102	110	102	102	105	105	105	102	101	102	108
8157	101	101	101	101	101	108	101	108	101	998	101	101	101	101	101	102	101	101	101
8257	101	101	101	101	999	101	102	101	101	104	101	101	101	101	101	102	101	101	101
8258	102	999	102	102	999	101	102	102	102	102	101	102	101	102	101	103	101	101	108
8259	101	101	101	101	101	108	101	101	101	109	101	108	101	108	101	102	101	996	108
8260	999	102	999	102	999	102	102	102	102	110	102	102	102	102	102	104	102	102	102
8261	999	101	101	101	999	108	101	101	101	106	101	101	101	104	101	103	101	996	999
8262	101	102	108	102	101	102	101	108	101	105	101	102	101	102	101	104	102	101	102
8263	101	101	102	101	101	101	101	101	101	110	101	101	101	101	101	105	108	101	101
8264	102	102	102	102	102	102	102	102	102	107	102	102	102	102	102	102	102	102	108
8265	102	102	101	101	101	105	106	108	107	996	101	102	101	105	101	105	101	998	102
8266	101	101	102	102	102	102	102	101	101	107	101	102	101	108	101	103	101	101	101
8267	101	102	101	101	101	101	101	101	101	104	101	101	101	101	101	106	101	101	101
8268	102	102	101	101	101	102	102	102	102	103	101	102	101	102	102	102	102	101	102
8269	101	999	102	102	999	102	102	108	102	999	101	101	101	102	101	102	105	101	101
8270	101	101	101	101	101	108	996	101	101	104	101	101	101	101	101	102	101	101	108
8271	101	102	999	101	999	101	997	101	101	108	101	102	101	101	101	101	108	101	101
8272	101	101	101	101	101	101	101	108	101	104	101	101	101	101	101	104	101	101	101
8273	101	101	101	108	108	108	108	108	101	105	101	101	101	101	101	104	101	101	108
8274	101	101	101	101	101	101	101	108	101	107	101	101	101	102	101	102	101	101	101
8275	101	101	102	102	102	102	102	108	101	110	101	101	101	102	101	103	101	101	108
8276	101	107	101	101	101	101	101	108	101	102	101	101	101	101	101	104	101	101	101
8277	999	999	999	103	999	997	998	998	998	108	998	999	997	997	998	104	101	997	999
8278	101	999	102	102	999	102	102	102	101	997	101	101	101	102	101	103	101	101	999
8279	101	999	102	102	999	102	102	102	101	998	101	101	101	102	101	101	101	101	999
8280	101	999	102	102	999	102	102	108	101	105	101	101	101	102	101	102	101	101	108
8281	101	105	101	101	101	101	101	108	101	996	101	101	101	101	101	103	101	101	101
